"","region","subtype","market","coveragetype","price","cluster"
"35698","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",375,8
"104971","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",160,4
"103122","SOUTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",159,1
"82799","SOUTH","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",435.3,3
"47175","MIDWEST","EL HYDRAULIC","OFFICE","GOLD",185,4
"49726","MIDWEST","EL HYDRAULIC","OFFICE","GOLD",175,4
"3135","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",13918.77,5
"86850","SOUTH","EL TR GEARLESS","OFFICE","PLATINUM",969.81,2
"44405","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",155,4
"109052","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",125,1
"90876","SOUTH","EL TR GEARED","EDUCATION / RELIGION","GOLD",121.5,1
"30902","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",200,3
"101977","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",102.6,1
"54438","MIDWEST","EL HY IN-GROUND","MIXED USE BUILDINGS","PLATINUM PREMIERE",210,9
"25479","FLORIDA","EL TR GEARED","PARKING GARAGE","PLATINUM",481,2
"23060","FLORIDA","EL TR GEARED","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",387.03,2
"42426","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",660.31,9
"111081","SOUTHWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",270,3
"82108","PACIFIC NORTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",270.72,8
"33851","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",75,1
"96686","SOUTHEAST","EL HYDRAULIC","OFFICE","PLATINUM",165,1
"111773","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM PREMIERE",115.68,1
"9652","CALIFORNIA","EL TR GEARED","OFFICE","GOLD",220,7
"12155","CENTRAL","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",275,1
"76396","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",220,7
"44680","MIDWEST","EL TR GEARED","OFFICE","GOLD",305,4
"75637","PACIFIC NORTHWEST","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","GOLD",200,4
"41182","MID ATLANTIC","EL MACHINE ROOMLESS","EDUCATION / RELIGION","PLATINUM",481,5
"83233","SOUTH","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",240,9
"16517","CENTRAL","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",200,4
"37392","MID ATLANTIC","EL HYDRAULIC","RETAIL","GOLD",180,4
"79617","PACIFIC NORTHWEST","EL HY TWIN POST","MIXED USE BUILDINGS","BRONZE",125,8
"22842","FLORIDA","EL TR GEARLESS","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM",508.93,2
"14641","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",26728.48,2
"94519","SOUTHEAST","EL HY TWIN POST","OFFICE","GOLD",225,4
"8971","CALIFORNIA","EL TR GEARED","OFFICE","PLATINUM",125,2
"67726","NORTHEAST","EL HYDRAULIC","ENTERTAINMENT / LEISURE","PLATINUM PREMIERE",808,9
"28763","FLORIDA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",299.45,9
"42282","MID ATLANTIC","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",260,5
"76704","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","BRONZE",94.98,8
"37665","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",130,5
"4966","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",205,7
"56381","MIDWEST","EL HY MRL","HOTEL / RESTAURANT","PLATINUM",155,4
"96831","SOUTHEAST","EL MR LOW","MIXED USE BUILDINGS","PLATINUM",500,8
"76574","PACIFIC NORTHWEST","EL TR GEARED","HOTEL / RESTAURANT","PLATINUM",536.78,2
"85607","SOUTH","EL MR BELTED","OFFICE","PLATINUM",655.36,2
"100179","SOUTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",150,1
"41571","MID ATLANTIC","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",210,3
"107386","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",145,4
"86017","SOUTH","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",320,7
"76449","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",195,1
"12522","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",500,2
"70771","NORTHEAST","EL HYDRAULIC","OFFICE","BRONZE",50,4
"54131","MIDWEST","EL TR GEARED","OFFICE","GOLD",300,4
"34884","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",245.12,5
"111226","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",285,3
"84258","SOUTH","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",240,7
"94408","SOUTHEAST","EL MR GEARLESS","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",380,3
"45337","MIDWEST","EL HY HOLELESS W/ ROPE","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM",40,4
"20874","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",250,5
"98606","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",68.8,1
"110996","SOUTHWEST","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",245,4
"14741","CENTRAL","EL TR GEARLESS","OFFICE","GOLD",580,4
"13621","CENTRAL","EL TR GEARLESS","OFFICE","PLATINUM PREMIERE",615.82,9
"107708","SOUTHWEST","EL HYDRAULIC","INDUSTRIAL","GOLD",180,4
"100495","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",172,1
"54667","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",114,1
"74810","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",130,1
"107307","SOUTHWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",277,3
"14759","CENTRAL","EL TR GEARED","OFFICE","GOLD",312.93,6
"42252","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",179.03,5
"46276","MIDWEST","EL HYDRAULIC","OFFICE","PLATINUM",350,4
"112259","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",165,4
"46968","MIDWEST","EL TR GEARED","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM PREMIERE",41390,9
"108589","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",225,1
"80546","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",244.34,1
"94616","SOUTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",200,7
"75876","PACIFIC NORTHWEST","EL MR LOW","MIXED USE BUILDINGS","PLATINUM",670,8
"26554","FLORIDA","EL HYDRAULIC","OFFICE","GOLD",189,4
"48456","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",341.43,4
"52320","MIDWEST","EL HY TWIN POST","RETAIL","GOLD",145,4
"72954","PACIFIC NORTHWEST","EL TR GEARED","HOTEL / RESTAURANT","GOLD",100,6
"10984","CENTRAL","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",180,5
"10737","CENTRAL","EL HYDRAULIC","OFFICE","PLATINUM",280.18,8
"47183","MIDWEST","EL HYDRAULIC","OFFICE","GOLD",180,4
"71390","NORTHEAST","EL HYDRAULIC","OFFICE","GOLD",295,4
"80543","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",244.34,1
"103680","SOUTHWEST","EL TR GEARLESS","OFFICE","PLATINUM",450,2
"47986","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",160,1
"52291","MIDWEST","EL HY MRL","MIXED USE BUILDINGS","GOLD",165,4
"4572","CALIFORNIA","EL HY IN-GROUND","PRIVATE RESIDENTIAL - COMFORT","GOLD",225,7
"42618","MID ATLANTIC","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",249.32,5
"66007","NORTHEAST","EL HY TELESCOPIC","PRIVATE RESIDENTIAL - PREMIUM","GOLD",300,6
"60317","NORTHEAST","EL TR GEARED","HOSPITAL / HEALTHCARE","GOLD",296,6
"34365","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","GOLD",225,7
"94455","SOUTHEAST","EL MACHINE ROOMLESS","OFFICE","GOLD",585.2,4
"18441","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",350,2
"29513","FLORIDA","EL HYDRAULIC","INDUSTRIAL","PLATINUM",255,5
"5111","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",275,7
"32427","MID ATLANTIC","EL TR GEARED","OFFICE","GOLD",300,6
"50033","MIDWEST","EL HY TWIN POST","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",563.06,3
"2129","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",208.31,5
"12186","CENTRAL","EL HY IN-GROUND","HOSPITAL / HEALTHCARE","PLATINUM",175,5
"51666","MIDWEST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",140,4
"111579","SOUTHWEST","EL HY MRL","EDUCATION / RELIGION","PLATINUM",150,5
"44099","MID ATLANTIC","EL HY IN-GROUND","HOSPITAL / HEALTHCARE","GOLD",205,6
"49981","MIDWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",246.21,6
"55848","MIDWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",154,8
"17386","CENTRAL","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",215,7
"25836","FLORIDA","EL HYDRAULIC","OFFICE","GOLD",230,4
"70137","NORTHEAST","EL TR GEARLESS","OFFICE","PLATINUM PREMIERE",985.71,9
"112397","SOUTHWEST","EL HY MRL","OFFICE","BRONZE",90,4
"21371","FLORIDA","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",400,3
"3734","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",268.42,7
"29336","FLORIDA","EL HYDRAULIC","OFFICE","PLATINUM",125,4
"110382","SOUTHWEST","EL HY TWIN POST","MIXED USE BUILDINGS","BRONZE",85,7
"41581","MID ATLANTIC","EL HYDRAULIC","OFFICE","PLATINUM",200,5
"24249","FLORIDA","EL TR GEARED","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",687.5,9
"57956","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",466,4
"14837","CENTRAL","EL MACHINE ROOMLESS","ENTERTAINMENT / LEISURE","PLATINUM",425,2
"45942","MIDWEST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",215,4
"47090","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM PREMIERE",9535,9
"5223","CALIFORNIA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",964.19,9
"48353","MIDWEST","EL HY TWIN POST","HOTEL / RESTAURANT","PLATINUM",387.43,8
"104274","SOUTHWEST","EL HYDRAULIC","PARKING GARAGE","PLATINUM",335,8
"56828","MIDWEST","EL HYDRAULIC","OFFICE","GOLD",165,4
"23673","FLORIDA","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",292.67,3
"735","CALIFORNIA","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",336.59,5
"31816","FLORIDA","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",442.87,8
"100955","SOUTHEAST","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",142,1
"21259","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",210,5
"73007","PACIFIC NORTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","BRONZE",78.69,8
"23388","FLORIDA","EL TR GEARED","HOTEL / RESTAURANT","GOLD",1597.94,6
"80772","PACIFIC NORTHWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","BRONZE",225,3
"34782","MID ATLANTIC","EL TR GEARLESS","EDUCATION / RELIGION","PLATINUM",9500,5
"24247","FLORIDA","EL TR GEARED","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",687.5,9
"65217","NORTHEAST","EL HYDRAULIC","RETAIL","GOLD",925.27,7
"40787","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",415,5
"76898","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",250,7
"2701","CALIFORNIA","EL HYDRAULIC","OFFICE","PLATINUM",170,4
"72779","PACIFIC NORTHWEST","EL TR GEARED","MIXED USE BUILDINGS","GOLD",3246,9
"72253","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",274,5
"72550","PACIFIC NORTHWEST","EL HYDRAULIC","OFFICE","BRONZE",124,4
"100294","SOUTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",140.69,1
"83592","SOUTH","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",280,7
